Product URL,Product Name,Product Price,Rating,Number of Reviews,Product Description,ASIN,Manufacturer
https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_79?keywords=bags&qid=1690359158&sr=8-79,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Girls-1522-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9SFYXQ/ref=sr_1_80?keywords=bags&qid=1690359158&sr=8-80,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/ZAINTO-Textured-Leatherette-Stylish-Travelling/dp/B09CTY23YG/ref=sr_1_145?keywords=bags&qid=1690359184&sr=8-145,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX/ref=sr_1_146?keywords=bags&qid=1690359184&sr=8-146,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJ64SH/ref=sr_1_147?keywords=bags&qid=1690359184&sr=8-147,In stock,"₹1,299",0,8,N/A,N/A,N/A
https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_148?keywords=bags&qid=1690359184&sr=8-148,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Polyester-Gym-Bag-Shoulder-Compartment/dp/B0BXB21C4T/ref=sr_1_149?keywords=bags&qid=1690359184&sr=8-149,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B09VCQWRC4/ref=sr_1_150?keywords=bags&qid=1690359184&sr=8-150,Navy Blue,₹692,0,958,N/A,N/A,N/A
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJDZ47/ref=sr_1_151?keywords=bags&qid=1690359184&sr=8-151,In stock,₹899,0,0,N/A,N/A,N/A
https://www.amazon.in/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5/ref=sr_1_152?keywords=bags&qid=1690359184&sr=8-152,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/DIVULGE-Drawstring-Bag-Sports-Utility/dp/B07PXTDBH4/ref=sr_1_153?keywords=bags&qid=1690359184&sr=8-153,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ/ref=sr_1_154?keywords=bags&qid=1690359184&sr=8-154,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/F-Gear-Miles-Guc-Black-Waist-Bag/dp/B08NYGBDB8/ref=sr_1_155?keywords=bags&qid=1690359184&sr=8-155,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Pramadda-Pure-Luxury-Backpack-Bagpacks/dp/B0C6NNPZTC/ref=sr_1_156?keywords=bags&qid=1690359184&sr=8-156,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Nivia-5183NB-Gym-Navy-Blue/dp/B07NJGW3WX/ref=sr_1_157?keywords=bags&qid=1690359184&sr=8-157,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3/ref=sr_1_158?keywords=bags&qid=1690359184&sr=8-158,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YB2S3/ref=sr_1_159?keywords=bags&qid=1690359184&sr=8-159,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_160?keywords=bags&qid=1690359184&sr=8-160,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL/ref=sr_1_193?keywords=bags&qid=1690359206&sr=8-193,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9FLPNX/ref=sr_1_194?keywords=bags&qid=1690359206&sr=8-194,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_195?keywords=bags&qid=1690359206&sr=8-195,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_196?keywords=bags&qid=1690359206&sr=8-196,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3/ref=sr_1_197?keywords=bags&qid=1690359206&sr=8-197,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BXQZ6Q85/ref=sr_1_198?keywords=bags&qid=1690359206&sr=8-198,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Impulse-rucksack-60-backpack-trekking/dp/B09TDL9FJ8/ref=sr_1_199?keywords=bags&qid=1690359206&sr=8-199,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Attractive-lasting-Drawstring-Polyester-Backpack/dp/B0B4G9XT67/ref=sr_1_200?keywords=bags&qid=1690359206&sr=8-200,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B0BR149RMT/ref=sr_1_201?keywords=bags&qid=1690359206&sr=8-201,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/SATELLITE-Black-Casual-Backpack-Bagpack/dp/B083DZVFZM/ref=sr_1_202?keywords=bags&qid=1690359206&sr=8-202,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/TRAVALATE-Backpack-Charging-Collage-Business/dp/B0BLK8CF12/ref=sr_1_203?keywords=bags&qid=1690359206&sr=8-203,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/Waterproof-Laptop-College-Backpack-Navy_Blue/dp/B0BW9GWPYH/ref=sr_1_204?keywords=bags&qid=1690359206&sr=8-204,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_205?keywords=bags&qid=1690359206&sr=8-205,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/DZert-Tiger-School-Backpacks-Cartoon/dp/B08RC4SGFJ/ref=sr_1_206?keywords=bags&qid=1690359206&sr=8-206,Tiger,₹249,0,"11,955",N/A,N/A,N/A
https://www.amazon.in/Lenovo-Laptop-Everyday-Backpack-Black/dp/B07GM5NR14/ref=sr_1_207?keywords=bags&qid=1690359206&sr=8-207,N/A,N/A,0,0,N/A,N/A,N/A
https://www.amazon.in/EUME-Virgo-29Ltr-Laptop-Backpack/dp/B08R563J3T/ref=sr_1_208?keywords=bags&qid=1690359206&sr=8-208,In stock,"₹1,199",0,297,N/A,N/A,N/A
